convergencia,factorial_A,factorial_B,factorial_C,mean_opinion_final,motor,param,polarization_index,seed,std_opinion_final,tiempo_ms,value
False,,,,0.328605,simulator,alpha_blend,0.176713,44,0.176713,44.2,0.2
False,,,,0.176661,simulator,alpha_blend,0.056567,45,0.056567,45.4,0.2
False,,,,0.384721,simulator,alpha_blend,0.083501,46,0.083501,43.3,0.2
False,,,,0.182172,simulator,alpha_blend,0.073935,42,0.073935,44.3,0.30000000000000004
False,,,,0.681448,simulator,alpha_blend,0.061534,43,0.061534,44.0,0.30000000000000004
False,,,,0.324093,simulator,alpha_blend,0.17556,44,0.17556,42.4,0.30000000000000004
False,,,,0.166435,simulator,alpha_blend,0.056558,45,0.056558,44.1,0.30000000000000004
False,,,,0.384952,simulator,alpha_blend,0.080701,46,0.080701,42.6,0.30000000000000004
False,,,,0.168478,simulator,alpha_blend,0.073588,42,0.073588,42.8,0.4
False,,,,0.659802,simulator,alpha_blend,0.056011,43,0.056011,43.5,0.4
False,,,,0.319636,simulator,alpha_blend,0.174421,44,0.174421,42.0,0.4
False,,,,0.156987,simulator,alpha_blend,0.056567,45,0.056567,43.6,0.4
False,,,,0.383822,simulator,alpha_blend,0.07815,46,0.07815,42.3,0.4
False,,,,0.169038,simulator,alpha_blend,0.071356,42,0.071356,43.6,0.5
False,,,,0.687155,simulator,alpha_blend,0.05436,43,0.05436,43.3,0.5
False,,,,0.312639,simulator,alpha_blend,0.172634,44,0.172634,41.6,0.5
False,,,,0.148066,simulator,alpha_blend,0.056602,45,0.056602,43.1,0.5
False,,,,0.381266,simulator,alpha_blend,0.075901,46,0.075901,42.1,0.5
False,,,,0.158845,simulator,alpha_blend,0.070513,42,0.070513,43.3,0.6000000000000001
False,,,,0.716849,simulator,alpha_blend,0.052797,43,0.052797,42.5,0.6000000000000001
False,,,,0.309947,simulator,alpha_blend,0.171946,44,0.171946,41.3,0.6000000000000001
False,,,,0.144163,simulator,alpha_blend,0.055294,45,0.055294,42.8,0.6000000000000001
False,,,,0.42657,simulator,alpha_blend,0.071421,46,0.071421,43.0,0.6000000000000001
False,,,,0.132034,simulator,alpha_blend,0.071978,42,0.071978,42.8,0.7000000000000001
False,,,,0.744405,simulator,alpha_blend,0.051367,43,0.051367,43.0,0.7000000000000001
False,,,,0.307582,simulator,alpha_blend,0.171342,44,0.171342,42.3,0.7000000000000001
False,,,,0.136951,simulator,alpha_blend,0.055122,45,0.055122,43.9,0.7000000000000001
False,,,,0.315245,simulator,alpha_blend,0.082168,46,0.082168,42.8,0.7000000000000001
False,,,,0.119517,simulator,alpha_blend,0.071562,42,0.071562,42.7,0.8
False,,,,0.771586,simulator,alpha_blend,0.050353,43,0.050353,42.6,0.8
False,,,,0.301851,simulator,alpha_blend,0.16988,44,0.16988,42.6,0.8
False,,,,0.222384,simulator,alpha_blend,0.064342,45,0.064342,46.1,0.8
False,,,,0.382769,simulator,alpha_blend,0.07677,46,0.07677,44.2,0.8
False,,,,0.107652,simulator,alpha_blend,0.071113,42,0.071113,42.9,0.9
True,,,,0.794377,simulator,alpha_blend,0.048244,43,0.048244,42.6,0.9
False,,,,0.294636,simulator,alpha_blend,0.16804,44,0.16804,43.8,0.9
False,,,,0.127146,simulator,alpha_blend,0.054885,45,0.054885,43.0,0.9
False,,,,0.382394,simulator,alpha_blend,0.075189,46,0.075189,42.0,0.9
False,,,,0.097392,simulator,alpha_blend,0.070485,42,0.070485,42.1,1.0
True,,,,0.81297,simulator,alpha_blend,0.047019,43,0.047019,42.3,1.0
False,,,,0.435535,simulator,alpha_blend,0.182894,44,0.182894,42.1,1.0
False,,,,0.121757,simulator,alpha_blend,0.054862,45,0.054862,42.1,1.0
False,,,,0.358171,simulator,alpha_blend,0.067082,46,0.067082,42.7,1.0
True,,,,0.191712,simulator,ruido_base,0.047339,42,0.047339,41.7,0.0
True,,,,0.686534,simulator,ruido_base,0.030864,43,0.030864,41.6,0.0
False,,,,0.441728,simulator,ruido_base,0.106423,44,0.106423,42.5,0.0
True,,,,0.264362,simulator,ruido_base,0.042525,45,0.042525,43.1,0.0
True,,,,0.390533,simulator,ruido_base,0.044416,46,0.044416,42.3,0.0
False,,,,0.102473,simulator,ruido_base,0.086611,42,0.086611,42.5,0.05
False,,,,0.734244,simulator,ruido_base,0.060251,43,0.060251,42.8,0.05
False,,,,0.351976,simulator,ruido_base,0.217499,44,0.217499,40.8,0.05
False,,,,0.105759,simulator,ruido_base,0.067505,45,0.067505,42.9,0.05
